Row,Column,value
R_H,C_O,739
R_H,C_P,733
R_H,C_Q,783
R_H,C_R,786
R_I,C_A,823
R_I,C_B,784
R_I,C_C,754
R_I,C_D,873
R_I,C_E,764
R_I,C_F,775
R_I,C_G,752
R_I,C_H,753
R_I,C_I,820
R_I,C_J,798
R_I,C_K,847
R_I,C_L,858
R_I,C_M,811
R_I,C_N,875
R_I,C_O,659
R_I,C_P,661
R_I,C_Q,759
R_I,C_R,767
R_J,C_A,785
R_J,C_B,794
R_J,C_C,764
R_J,C_D,822
R_J,C_E,714
R_J,C_F,748
R_J,C_G,724
R_J,C_H,717
R_J,C_I,736
R_J,C_J,724
R_J,C_K,838
R_J,C_L,769
R_J,C_M,819
R_J,C_N,823
R_J,C_O,724
R_J,C_P,750
R_J,C_Q,764
R_J,C_R,764
R_K,C_A,785
R_K,C_B,808
R_K,C_C,823
R_K,C_D,826
R_K,C_E,801
R_K,C_F,712
R_K,C_G,826
R_K,C_H,665
R_K,C_I,759
R_K,C_J,738
R_K,C_K,867
R_K,C_L,725
R_K,C_M,794
R_K,C_N,755
R_K,C_O,730
R_K,C_P,638
R_K,C_Q,724
R_K,C_R,734
R_L,C_A,829
R_L,C_B,895
R_L,C_C,774
R_L,C_D,891
R_L,C_E,841
R_L,C_F,815
R_L,C_G,834
R_L,C_H,778
R_L,C_I,760
R_L,C_J,822
R_L,C_K,803
R_L,C_L,754
R_L,C_M,703
R_L,C_N,743
R_L,C_O,728
R_L,C_P,692
R_L,C_Q,748
R_L,C_R,671
R_M,C_A,861
R_M,C_B,883
R_M,C_C,739
R_M,C_D,762
R_M,C_E,725
R_M,C_F,717
R_M,C_G,746
R_M,C_H,766
R_M,C_I,662
R_M,C_J,634
R_M,C_K,743
R_M,C_L,719
R_M,C_M,710
R_M,C_N,682
R_M,C_O,694
R_M,C_P,675
R_M,C_Q,709
R_M,C_R,720
R_N,C_A,906
R_N,C_B,885
R_N,C_C,790
R_N,C_D,655
R_N,C_E,690
R_N,C_F,769
R_N,C_G,765
R_N,C_H,719
R_N,C_I,743
R_N,C_J,770
R_N,C_K,728
R_N,C_L,740
R_N,C_M,691
R_N,C_N,767
R_N,C_O,648
R_N,C_P,715
R_N,C_Q,655
R_N,C_R,665
R_O,C_A,819
R_O,C_B,911
R_O,C_C,788
R_O,C_D,654
R_O,C_E,742
R_O,C_F,786
R_O,C_G,791
R_O,C_H,779
R_O,C_I,645
R_O,C_J,810
R_O,C_K,816
R_O,C_L,746
R_O,C_M,729
R_O,C_N,814
R_O,C_O,718
R_O,C_P,721
R_O,C_Q,708
R_O,C_R,722
R_P,C_A,893
R_P,C_B,862
R_P,C_C,769
R_P,C_D,727
R_P,C_E,725
R_P,C_F,721
R_P,C_G,739
R_P,C_H,736
R_P,C_I,672
R_P,C_J,814
R_P,C_K,756
R_P,C_L,748
R_P,C_M,714
R_P,C_N,718
R_P,C_O,694
R_P,C_P,704
R_P,C_Q,915
R_P,C_R,705
R_Q,C_A,813
R_Q,C_B,750
R_Q,C_C,742
R_Q,C_D,872
R_Q,C_E,746
R_Q,C_F,812
R_Q,C_G,705
R_Q,C_H,724
R_Q,C_I,640
R_Q,C_J,757
R_Q,C_K,708
R_Q,C_L,750
R_Q,C_M,767
R_Q,C_N,638
R_Q,C_O,754
R_Q,C_P,767
R_Q,C_Q,763
R_Q,C_R,685
R_R,C_A,816
R_R,C_B,758
R_R,C_C,811
R_R,C_D,702
R_R,C_E,728
R_R,C_F,741
R_R,C_G,757
R_R,C_H,732
R_R,C_I,623
R_R,C_J,786
R_R,C_K,805
R_R,C_L,786
R_R,C_M,739
R_R,C_N,727
R_R,C_O,767
R_R,C_P,738
R_R,C_Q,659
R_R,C_R,695
R_S,C_A,676
R_S,C_B,783
R_S,C_C,734
R_S,C_D,626
R_S,C_E,782
R_S,C_F,704
R_S,C_G,782
R_S,C_H,707
R_S,C_I,672
R_S,C_J,703
R_S,C_K,698
R_S,C_L,758
R_S,C_M,762
R_S,C_N,625
R_S,C_O,623
R_S,C_P,699
R_S,C_Q,662
R_S,C_R,613
R_T,C_A,813
R_T,C_B,809
R_T,C_C,695
R_T,C_D,707
R_T,C_E,753
R_T,C_F,680
R_T,C_G,720
R_T,C_H,683
R_T,C_I,757
R_T,C_J,782
R_T,C_K,789
R_T,C_L,811
R_T,C_M,789
R_T,C_N,769
R_T,C_O,751
R_T,C_P,648
R_T,C_Q,680
R_T,C_R,696
R_U,C_A,801
R_U,C_B,764
R_U,C_C,701
R_U,C_D,716
R_U,C_E,753
R_U,C_F,680
R_U,C_G,706
R_U,C_H,665
R_U,C_I,680
R_U,C_J,650
R_U,C_K,690
R_U,C_L,699
R_U,C_M,768
R_U,C_N,751
R_U,C_O,701
R_U,C_P,665
R_U,C_Q,603
R_U,C_R,680
R_V,C_A,718
R_V,C_B,784
R_V,C_C,730
R_V,C_D,750
R_V,C_E,733
R_V,C_F,705
R_V,C_G,728
R_V,C_H,667
R_V,C_I,703
R_V,C_J,684
R_V,C_K,777
R_V,C_L,747
R_V,C_M,713
R_V,C_N,696
R_V,C_O,717
R_V,C_P,732
R_V,C_Q,712
R_V,C_R,679
R_W,C_A,756
R_W,C_B,725
R_W,C_C,821
R_W,C_D,685
R_W,C_E,681
R_W,C_F,738
R_W,C_G,630
R_W,C_H,599
R_W,C_I,629
R_W,C_J,703
R_W,C_K,780
R_W,C_L,720
R_W,C_M,709
R_W,C_N,697
R_W,C_O,731
R_W,C_P,661
R_W,C_Q,627
R_W,C_R,644
R_X,C_A,789
R_X,C_B,681
R_X,C_C,732
R_X,C_D,669
R_X,C_E,681
R_X,C_F,698
R_X,C_G,689
R_X,C_H,622
R_X,C_I,672
R_X,C_J,704
R_X,C_K,705
R_X,C_L,625
R_X,C_M,677
R_X,C_N,704
R_X,C_O,648
R_X,C_P,605
R_X,C_Q,585
R_X,C_R,651
R_Y,C_A,652
R_Y,C_B,622
R_Y,C_C,695
R_Y,C_D,677
R_Y,C_E,698
R_Y,C_F,666
R_Y,C_G,691
R_Y,C_H,688
R_Y,C_I,682
R_Y,C_J,713
R_Y,C_K,670
R_Y,C_L,708
R_Y,C_M,707
R_Y,C_N,695
R_Y,C_O,681
R_Y,C_P,716
R_Y,C_Q,626
R_Y,C_R,637
R_Z,C_A,729
R_Z,C_B,650
R_Z,C_C,700
R_Z,C_D,764
R_Z,C_E,680
R_Z,C_F,681
R_Z,C_G,645
R_Z,C_H,622
R_Z,C_I,661
R_Z,C_J,728
R_Z,C_K,715
R_Z,C_L,775
R_Z,C_M,690
R_Z,C_N,726
R_Z,C_O,669
R_Z,C_P,766
R_Z,C_Q,709
R_Z,C_R,645
R_NA,C_A,698
R_NA,C_B,713
R_NA,C_C,714
R_NA,C_D,734
R_NA,C_E,651
R_NA,C_F,649
R_NA,C_G,675
R_NA,C_H,614
R_NA,C_I,634
R_NA,C_J,635
R_NA,C_K,639
R_NA,C_L,690
R_NA,C_M,694
R_NA,C_N,637
R_NA,C_O,590
R_NA,C_P,640
R_NA,C_Q,658
R_NA,C_R,609
R_NA,C_A,745
R_NA,C_B,677
R_NA,C_C,685
R_NA,C_D,711
R_NA,C_E,688
R_NA,C_F,614
R_NA,C_G,585
R_NA,C_H,534
R_NA,C_I,533
R_NA,C_J,671
R_NA,C_K,600
R_NA,C_L,647
R_NA,C_M,592
R_NA,C_N,595
R_NA,C_O,563
R_NA,C_P,634
R_NA,C_Q,666
R_NA,C_R,644
R_NA,C_A,964
R_NA,C_B,727
R_NA,C_C,648
R_NA,C_D,664
R_NA,C_E,623
R_NA,C_F,629
R_NA,C_G,616
R_NA,C_H,594
R_NA,C_I,619
R_NA,C_J,631
R_NA,C_K,628
R_NA,C_L,591
R_NA,C_M,675
R_NA,C_N,654
R_NA,C_O,640
R_NA,C_P,718
R_NA,C_Q,667
R_NA,C_R,649
R_NA,C_A,671
R_NA,C_B,729
R_NA,C_C,690
R_NA,C_D,687
R_NA,C_E,705
R_NA,C_F,622
R_NA,C_G,523
R_NA,C_H,526
R_NA,C_I,661
R_NA,C_J,683
R_NA,C_K,619
R_NA,C_L,709
R_NA,C_M,620
R_NA,C_N,651
R_NA,C_O,676
R_NA,C_P,728
R_NA,C_Q,547
R_NA,C_R,682
R_NA,C_A,717
R_NA,C_B,694
R_NA,C_C,727
R_NA,C_D,719
R_NA,C_E,669
R_NA,C_F,630
R_NA,C_G,701
R_NA,C_H,645
R_NA,C_I,638
R_NA,C_J,714
R_NA,C_K,633
R_NA,C_L,670
R_NA,C_M,649
R_NA,C_N,665
R_NA,C_O,557
R_NA,C_P,734
R_NA,C_Q,674
R_NA,C_R,727
R_NA,C_A,652
R_NA,C_B,713
R_NA,C_C,656
R_NA,C_D,584
R_NA,C_E,517
R_NA,C_F,572
R_NA,C_G,574
R_NA,C_H,539
R_NA,C_I,545
R_NA,C_J,629
R_NA,C_K,636
R_NA,C_L,580
R_NA,C_M,607
R_NA,C_N,654
R_NA,C_O,585
R_NA,C_P,674
R_NA,C_Q,608
R_NA,C_R,612
R_NA,C_A,605
R_NA,C_B,708
R_NA,C_C,684
R_NA,C_D,715
R_NA,C_E,659
R_NA,C_F,629
R_NA,C_G,632
R_NA,C_H,596
R_NA,C_I,627
R_NA,C_J,644
R_NA,C_K,661
R_NA,C_L,682
R_NA,C_M,690
R_NA,C_N,636
R_NA,C_O,665
R_NA,C_P,731
R_NA,C_Q,753
R_NA,C_R,640
R_NA,C_A,559
R_NA,C_B,722
R_NA,C_C,726
R_NA,C_D,705
R_NA,C_E,571
R_NA,C_F,637
R_NA,C_G,637
R_NA,C_H,577
R_NA,C_I,561
R_NA,C_J,590
R_NA,C_K,646
R_NA,C_L,639
R_NA,C_M,672
R_NA,C_N,636
R_NA,C_O,651
R_NA,C_P,684
R_NA,C_Q,584
R_NA,C_R,622
R_NA,C_A,589
R_NA,C_B,681
R_NA,C_C,690
R_NA,C_D,570
R_NA,C_E,619
R_NA,C_F,624
R_NA,C_G,580
R_NA,C_H,570
R_NA,C_I,568
R_NA,C_J,589
R_NA,C_K,550
R_NA,C_L,622
R_NA,C_M,623
R_NA,C_N,706
R_NA,C_O,725
R_NA,C_P,738
R_NA,C_Q,669
R_NA,C_R,636
R_NA,C_A,614
R_NA,C_B,633
R_NA,C_C,619
R_NA,C_D,658
R_NA,C_E,678
R_NA,C_F,673
R_NA,C_G,652
R_NA,C_H,602
R_NA,C_I,590
R_NA,C_J,605
R_NA,C_K,538
R_NA,C_L,682
R_NA,C_M,651
R_NA,C_N,653
R_NA,C_O,680
R_NA,C_P,696
R_NA,C_Q,633
R_NA,C_R,660
